Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
9.195,8.9606,7.5156,3.2478,-.139
9.2,8.9677,7.5211,3.1946,-.1204
9.205,8.9898,7.5295,3.1528,-.1097
9.21,8.9914,7.5298,3.0863,-.1036
9.215,8.9998,7.5353,3.0493,-.0976
9.22,9.0086,7.5412,3.0201,-.1065
9.225,9.0066,7.5438,3.0526,-.1174
9.23,9.0241,7.5473,3.1823,-.1123
9.235,9.0219,7.5516,3.1949,-.1063
9.24,9.0228,7.5584,3.1709,-.0897
9.245,9.0452,7.5606,3.1878,-.056
9.25,9.0601,7.5645,3.4324,-.0094
9.255,9.0559,7.5613,3.3973,.0272
9.26,9.0511,7.5603,3.2728,.0402
9.265,9.0462,7.5574,3.3111,.0601
9.27,9.0277,7.5551,3.3,.0667
9.275,9.0326,7.5532,3.255,.0711
9.28,9.0238,7.5483,3.182,.0889
9.285,9.0209,7.5473,3.1379,.1022
9.29,9.0082,7.5431,3.0477,.1001
9.295,8.993,7.5392,3.062,.0962
9.3,8.9878,7.5341,3.1006,.0866
9.305,8.9726,7.5324,3.1077,.0745
9.31,8.9713,7.5292,3.0613,.0531
9.315,8.9995,7.5259,3.0853,.0465
9.32,8.9979,7.5198,3.0805,.0505
9.325,8.9962,7.5243,3.0477,.052
9.33,8.9716,7.522,3.1174,.0628
9.335,8.97,7.5214,3.1593,.075
9.34,8.9606,7.5169,3.1366,.0695
9.345,8.955,7.5133,3.192,.0745
9.35,8.9489,7.513,3.1907,.0761
9.355,8.9379,7.5081,3.1463,.0734
9.36,8.931,7.5045,3.0818,.076
9.365,8.9281,7.5019,3.0723,.0912
9.37,9.0066,7.4958,3.0827,.109
9.375,8.9249,7.4938,3.1074,.1083
9.38,9.0021,7.4893,3.0788,.0989
9.385,9.0115,7.4912,3.0094,.0821
9.39,8.8772,7.4828,2.9721,.0615
9.395,8.874,7.4815,2.9864,.0549
9.4,8.8691,7.4796,3.0639,.0601
9.405,8.8707,7.4773,3.001,.0551
9.41,8.8623,7.4753,2.9926,.0512
9.415,8.8668,7.4724,3.0256,.0564
9.42,8.8694,7.4792,3.1132,.0515
9.425,8.8678,7.4685,3.1486,.0421
9.43,8.8704,7.4685,3.2001,.0428
9.435,8.8597,7.4643,3.1703,.0471
9.44,8.859,7.4637,3.1395,.0569
9.445,8.8545,7.4611,3.1469,.0698
9.45,8.8522,7.4543,3.1726,.0907
9.455,8.8474,7.4549,3.1456,.0936
9.46,8.8347,7.451,3.1132,.085
9.465,8.8305,7.4465,3.0999,.0748
9.47,8.8208,7.4468,3.0097,.0573
9.475,8.8049,7.4432,3.0175,.0382
9.48,8.8,7.4429,3.0078,.0376
9.485,8.802,7.452,2.9952,.0329
9.49,8.7929,7.44,3.0513,.0297
9.495,8.7861,7.439,3.0493,.0397
9.5,8.7948,7.438,3.0886,.0386
9.505,8.7776,7.4354,3.1395,.0423
9.51,8.7929,7.4345,3.1732,.0463
9.515,8.7906,7.4335,3.1372,.0431
9.52,8.788,7.4309,3.108,.0556
9.525,8.7916,7.4283,3.0899,.0706
9.53,8.7916,7.4257,3.0561,.0782
9.535,8.7932,7.4176,3.0522,.0794
9.54,8.7724,7.4186,3.1002,.0774
9.545,8.7809,7.4176,3.0882,.0643
9.55,8.7828,7.4108,3.0454,.0531
9.555,8.7731,7.4127,3.06,.0471
9.56,8.8681,7.4098,3.0513,.0475
9.565,8.7556,7.4098,3.0094,.045
9.57,8.74,7.4082,3.0072,.0444
9.575,8.7306,7.4063,3.0266,.0441
9.58,8.7413,7.4037,3.0406,.0326
9.585,8.7192,7.4173,3.0902,.0232
9.59,8.7501,7.4033,3.1359,.0173
9.595,8.7523,7.4024,3.1434,.0136
9.6,8.7543,7.4027,3.0814,.0139
9.605,8.7504,7.402,3.0886,.023
9.61,8.74,7.4011,3.1804,.0384
9.615,8.7426,7.3972,3.1512,.0535
9.62,8.7335,7.4004,3.1382,.0543
9.625,8.729,7.3943,3.2183,.0633
9.63,8.715,7.3917,3.1956,.0706
9.635,8.7095,7.3891,3.1525,.0573
9.64,8.7027,7.3881,3.1067,.0583
9.645,8.703,7.3858,3.0506,.0632
9.65,8.7971,7.3813,2.9585,.0594
9.655,8.7925,7.3803,2.9277,.0535
9.66,8.7128,7.379,2.9585,.0458
9.665,8.7085,7.378,3.0548,.0311
9.67,8.7115,7.3771,3.0633,.0204
9.675,8.7095,7.3764,3.0795,.0152
9.68,8.7079,7.3774,3.023,.0143
9.685,8.7111,7.3722,3.0153,.0151
9.69,8.6712,7.3767,3.0503,.0251
9.695,8.6693,7.3738,3.0649,.0298
9.7,8.6651,7.3719,3.0302,.0232
9.705,8.6596,7.3722,3.1038,.0227
9.71,8.6638,7.3709,3.1372,.019
9.715,8.6651,7.3686,3.1074,.0152
9.72,8.6797,7.3758,3.0743,.0172
9.725,8.6813,7.3699,3.0714,.0274
9.73,8.6758,7.3693,3.0827,.0365
9.735,8.6787,7.3709,3.0976,.0399
9.74,8.6699,7.3667,3.1311,.0402
9.745,8.6729,7.3651,3.1781,.0274
9.75,8.6609,7.3628,3.1486,.0251
9.755,8.666,7.3631,3.097,.0188
9.76,8.6641,7.3628,3.0908,.0256
9.765,8.6625,7.3618,3.0821,.0347
9.77,8.6537,7.3612,3.0798,.0368
9.775,8.6531,7.3595,3.0357,.0347
9.78,8.6547,7.356,3.1096,.0376
9.785,8.6456,7.3563,3.1632,.0361
9.79,8.6482,7.3553,3.1038,.0269
9.795,8.7562,7.354,3.0474,.0164
9.8,8.6557,7.3531,3.0483,.0238
9.805,8.6524,7.3527,3.0691,.0334
9.81,8.7572,7.3511,3.0328,.0303
9.815,8.7578,7.3495,3.002,.0238
9.82,8.7546,7.3427,3.0188,.0177
9.825,8.6605,7.3495,3.0704,.0099
9.83,8.6411,7.3495,3.0759,.0049
9.835,8.6469,7.3479,3.074,.008
9.84,8.6453,7.3492,3.062,.0123
9.845,8.6417,7.3488,3.0613,.0229
9.85,8.6417,7.3463,3.1265,.0318
9.855,8.6317,7.345,3.133,.0369
9.86,8.6385,7.3446,3.1385,.0392
9.865,8.6294,7.3437,3.1521,.0382
9.87,8.727,7.342,3.1061,.0319
9.875,8.7261,7.3417,3.0856,.0251
9.88,8.7316,7.3411,3.074,.0243
9.885,8.621,7.3368,3.0438,.0264
9.89,8.6067,7.3394,3.0133,.0186
9.895,8.6184,7.3388,3.0052,.0109
9.9,8.7251,7.3388,3.0639,.0042
9.905,8.7312,7.3385,3.1139,
9.91,8.6184,7.3381,3.1706,.0047
9.915,8.6164,7.3385,3.1314,.0141
9.92,8.6158,7.3346,3.0963,.0191
9.925,8.607,7.3372,3.0905,.0266
9.93,8.6099,7.3362,3.0743,.0279
9.935,8.6038,7.3359,3.0947,.0282
9.94,8.6041,7.3346,3.1152,.0271
9.945,8.5976,7.3333,3.0818,.0224
9.95,8.5983,7.3346,3.0136,.0143
9.955,8.5976,7.3258,2.9961,.0063
9.96,8.5892,7.3326,3.0153,.0057
9.965,8.7008,7.3333,3.0464,.0033
9.97,8.6151,7.3362,3.0662,.0101
9.975,8.6015,7.332,3.0503,.0131
9.98,8.6096,7.3313,3.0723,.0093
9.985,8.6028,7.3307,3.0989,.0172
9.99,8.5892,7.331,3.084,.0151
9.995,8.5833,7.3307,3.0733,.0125
10,8.5989,7.3304,3.0753,.0149
10.005,8.6518,7.2979,3.0805,.0033
10.01,8.5434,7.2995,3.0882,.0047
10.015,8.5538,7.3018,3.0837,.0059
10.02,8.5551,7.3018,3.0652,.0039
10.025,8.5532,7.3012,3.06,.0042
10.03,8.5558,7.3012,3.0899,.005
10.035,8.5515,7.3028,3.0866,.0068
10.04,8.5506,7.294,3.0863,.0088
10.045,8.5548,7.3008,3.1048,.0097
10.05,8.5421,7.3002,3.1729,.0288
10.055,8.5451,7.2986,3.2319,.0504
10.06,8.5444,7.2966,3.2897,.0813
10.065,8.5282,7.2921,3.4191,.1195
10.07,8.5091,7.2872,3.4392,.1584
10.075,8.5052,7.2804,3.4038,.1848
10.08,8.4902,7.2723,3.3938,.22
10.085,8.4672,7.2635,3.3691,.2581
10.09,8.4442,7.2522,3.3266,.2824
10.095,8.4101,7.2399,3.3192,.3157
10.1,8.3767,7.2269,3.3153,.3491
10.105,8.343,7.2061,3.3214,.3773
10.11,8.3144,7.1964,3.2037,.3862
10.115,8.2859,7.1815,3.1898,.3968
10.12,8.2548,7.1656,3.2209,.4033
10.125,8.2428,7.1497,3.0026,.3913
10.13,8.2016,7.1338,2.9141,.3844
10.135,8.1737,7.1215,2.9874,.3977
10.14,8.1399,7.09,2.9971,.3836
10.145,8.126,7.0894,2.9176,.358
10.15,8.1983,7.0757,2.9102,.3424
10.155,8.0647,7.0631,2.9287,.3256
10.16,8.052,7.0514,2.9024,.2999
10.165,8.0118,7.0401,2.8271,.2691
10.17,8.0018,7.0316,3.0094,.2869
10.175,7.9732,7.0219,3.0243,.2885
10.18,7.9577,7.0073,3.0698,.3049
10.185,7.9431,6.994,3.3055,.3382
10.19,7.9207,6.9814,3.3364,.3471
10.195,7.8938,6.9681,3.1534,.3465
10.2,7.8565,6.9531,3.1045,.3565
10.205,7.8295,6.9382,3.1401,.3897
10.21,7.7841,6.9236,3.0555,.3917
10.215,7.7734,6.9084,3.013,.3847
10.22,7.7491,6.8928,3.0263,.3782
10.225,7.716,6.8792,2.8907,.351
10.23,7.6761,6.8659,2.8638,.328
10.235,7.6434,6.8516,2.9786,.3232
10.24,7.6239,6.8354,2.9588,.3097
10.245,7.6031,6.8276,2.9099,.2957
10.25,7.5869,6.8156,2.953,.295
10.255,7.5626,6.8082,3.0175,.2914
10.26,7.5185,6.7926,2.9926,.2861
10.265,7.4883,6.7809,3.0899,.2927
10.27,7.452,6.7705,3.2086,.2945
10.275,7.45,6.7569,3.108,.2957
10.28,7.4332,6.743,3.0925,.317
10.285,7.4127,6.7284,3.2134,.3538
10.29,7.3826,6.7147,3.2057,.3648
10.295,7.3398,6.7005,3.1444,.3693
10.3,7.3028,6.6868,3.0869,.3787
10.305,7.2652,6.6758,2.9452,.3656
10.31,7.2577,6.6586,2.8554,.3544
10.315,7.2305,6.645,2.9313,.3517
10.32,7.2078,6.6324,2.9274,.3365
10.325,7.1685,6.62,2.7837,.3063
10.33,7.1481,6.6074,2.7856,.302
10.335,7.127,6.596,2.9021,.3044
10.34,7.103,6.5967,3.0059,.3125
10.345,7.1082,6.5711,3.1447,.3297
10.35,7.078,6.5581,3.1333,.3177
10.355,7.0563,6.5438,3.0016,.3151
10.36,7.0177,6.5331,2.9494,.3135
10.365,6.9982,6.5185,3.0565,.3256
10.37,6.9758,6.5039,3.1184,.34
10.375,6.9548,6.4903,3.0367,.3386
10.38,6.7141,6.4793,3.073,.3478
10.385,6.6564,6.466,3.0886,.3609
10.39,6.8416,6.4523,3.0338,.3452
10.395,6.8107,6.4384,3.0338,.3478
10.4,6.7919,6.4261,2.9358,.3353
10.405,6.7835,6.4099,2.8323,.3169
10.41,6.7608,6.3991,2.8151,.3217
10.415,6.7394,6.3865,2.964,.3266
10.42,6.7031,6.3739,3.0367,.3245
10.425,6.6881,6.3609,3.0788,.3277
10.43,6.6583,6.3486,3.0399,.318
10.435,6.6362,6.3353,2.9744,.3143
10.44,6.6165,6.32,3.014,.329
10.445,6.5814,6.3113,3.0869,.3411
10.45,6.5581,6.2963,3.0162,.3368
10.455,6.5205,6.2821,2.9948,.3297
10.46,6.4916,6.2701,2.927,.3183
10.465,6.4689,6.2561,2.8427,.3033
10.47,6.4407,6.2415,2.9465,.3233
10.475,6.4209,6.2324,3.0396,.3332
10.48,6.3803,6.2156,3.0526,.3449
10.485,6.3443,6.2019,3.0934,.3598
10.49,6.3216,6.188,3.026,.3562
10.495,6.2769,6.1734,2.9903,.3567
10.5,6.2649,6.1604,2.9416,.3526
10.505,6.2292,6.1426,2.8576,.3408
10.51,6.2107,6.1319,2.8142,.3348
10.515,6.1741,6.1176,2.8648,.3397
10.52,6.151,6.104,2.9783,.3368
10.525,6.1332,6.091,2.9877,.3358
10.53,6.1098,6.0777,2.9514,.3248
10.535,6.0875,6.0667,2.9086,.3227
10.54,6.0667,6.0466,2.9553,.3275
10.545,6.0446,6.0391,3.073,.3426
10.55,6.0167,6.0255,2.9874,.324
10.555,5.996,6.0135,2.8985,.3096
10.56,5.9752,6.0005,2.8998,.3101
10.565,5.9571,5.9927,2.9309,.3148
10.57,5.9314,5.9765,3.0153,.3188
10.575,5.9055,5.9707,3.0273,.3288
10.58,5.8779,5.9519,3.0578,.3356
10.585,5.8432,5.9395,2.9848,.3374
10.59,5.8208,5.925,2.9815,.3458
10.595,5.7939,5.9104,3.0376,.3525
10.6,5.7605,5.8974,2.9977,.3509
10.605,5.7303,5.8776,2.975,.3619
10.61,5.696,5.8653,2.9215,.359
10.615,5.6684,5.85,2.9079,.3557
10.62,5.6324,5.8364,2.9793,.3544
10.625,5.6071,5.8225,2.9147,.3484
10.63,5.5821,5.8082,2.906,.3454
10.635,5.5484,5.7952,2.8528,.3337
10.64,5.5195,5.7761,2.8729,.3156
10.645,5.4939,5.7683,2.927,.3188
10.65,5.4709,5.7547,2.8855,.3149
10.655,5.4368,5.7433,2.8466,.3086
10.66,5.4209,5.7316,2.8664,.3015
10.665,5.4028,5.718,2.8515,.2966
10.67,5.3775,5.7067,2.9079,.3037
10.675,5.3573,5.7012,2.9712,.3055
10.68,5.3324,5.682,2.9481,.3114
10.685,5.3165,5.67,3.0224,.3253
10.69,5.2938,5.6567,3.0406,.3322
10.695,5.2717,5.6437,2.9893,.3405
10.7,5.2441,5.6295,2.9977,.3437
10.705,5.2182,5.6113,3.036,.3583
10.71,5.1923,5.5993,2.9815,.3633
10.715,5.1621,5.5847,2.9916,.3688
10.72,5.1335,5.5714,2.9332,.3637
10.725,5.1018,5.5562,2.7821,.3494
10.73,5.07,5.5393,2.8233,.3518
10.735,5.0444,5.5296,2.8761,.3528
10.74,5.0139,5.5111,2.9238,.3368
10.745,4.9808,5.5027,2.9287,.3326
10.75,4.948,5.489,2.8596,.3219
10.755,4.9211,5.4767,2.8226,.3123
10.76,4.8929,5.4637,2.8531,.3186
10.765,4.8708,5.4501,2.8583,.3117
10.77,4.8407,5.4378,2.9154,.318
10.775,4.815,5.4306,2.8953,.3237
10.78,4.7927,5.4109,2.93,.3285
10.785,4.7677,5.3966,2.9945,.3371
10.79,4.7492,5.3826,3.0052,.3436
10.795,4.7142,5.3697,2.9857,.3423
10.8,4.6905,5.3557,2.9475,.3439
10.805,4.6714,5.3415,2.8554,.3465
10.81,4.6438,5.3275,2.8674,.3444
10.815,4.6305,5.3139,2.892,.3531
10.82,4.6003,5.3003,2.9413,.3489
10.825,4.5815,5.284,2.8414,.3288
10.83,4.5504,5.2717,2.8755,.3203
10.835,4.5235,5.2571,2.8557,.3183
10.84,4.4988,5.2386,2.9001,.3207
10.845,4.4826,5.2292,2.9692,.3339
10.85,4.457,5.2153,2.9261,.3324
10.855,4.43,5.2033,2.8735,.3256
10.86,4.3905,5.1903,2.8203,.3245
10.865,4.3603,5.1767,2.7422,.3183
10.87,4.3301,5.1657,2.8294,.3185
10.875,4.3078,5.1381,2.9264,.3285
10.88,4.2877,5.1391,2.9306,.3246
10.885,4.2591,5.1271,2.8807,.3175
10.89,4.2137,5.1121,2.8654,.3196
10.895,4.2212,5.0998,2.8573,.3188
10.9,4.1803,5.0859,2.8758,.324
10.905,4.1482,5.0758,2.9124,.3356
10.91,4.1385,5.0609,2.8972,.3347
10.915,4.1057,5.0469,2.891,.34
10.92,4.0703,5.0327,2.9287,.3494
10.925,4.0233,5.02,2.9621,.3581
10.93,3.9919,5.0058,2.951,.3557
10.935,3.9685,4.9902,2.9193,.3541
10.94,3.9604,4.9743,2.8424,.3489
10.945,3.9413,4.9623,2.8547,.3564
10.95,3.9098,4.9474,2.8524,.3541
10.955,3.867,4.9321,2.8015,.3331
10.96,3.8582,4.9208,2.7039,.3143
10.965,3.8206,4.9091,2.5972,.2879
10.97,3.8115,4.8971,2.6932,.2842
10.975,3.7976,4.8877,2.8914,.3149
10.98,3.7742,4.8712,2.9942,.3186
10.985,3.7418,4.8598,3.0882,.3373
10.99,3.711,4.8423,3.0195,.3411
10.995,3.7048,4.8329,2.8667,.3151
11,3.6711,4.8193,2.7963,.3172
11.005,3.6555,4.8082,2.7645,.3305
11.01,3.6338,4.794,2.8372,.3274
11.015,3.6065,4.7787,2.9043,.3439
11.02,3.5657,4.7651,2.9377,.3478
11.025,3.5375,4.7502,2.9981,.3407
11.03,3.5164,4.7375,2.8871,.3423
11.035,3.4856,4.7229,2.7159,.3235
11.04,3.4593,4.7061,2.711,.3136
11.045,3.4291,4.697,2.7227,.3138
11.05,3.3837,4.683,2.8164,.3263
11.055,3.3545,4.6717,2.8693,.3225
11.06,3.3318,4.6581,2.8116,.3143
11.065,3.314,4.6457,2.7765,.3156
11.07,3.2893,4.6337,2.7707,.3044
11.075,3.2692,4.6221,2.8395,.3102
11.08,3.2485,4.6071,2.891,.3195
11.085,3.2125,4.5932,2.9501,.3275
11.09,3.1898,4.5818,2.9154,.3337
11.095,3.1784,4.5679,2.8619,.3387
11.1,3.1512,4.5536,2.8683,.3465
11.105,3.1213,4.5426,2.8709,.3575
11.11,3.0976,4.5257,2.8823,.3594
11.115,3.0597,4.5131,2.8547,.3468
11.12,3.0412,4.5004,2.7941,.3303
11.125,3.013,4.4858,2.7175,.3178
11.13,2.9977,4.4735,2.7341,.3143
11.135,2.9838,4.4589,2.7967,.3271
11.14,2.9585,4.4482,2.7791,.3214
11.145,2.9293,4.4349,2.8414,.3175
11.15,2.9004,4.4232,2.8473,.3165
11.155,2.8794,4.4112,2.7655,.3044
11.16,2.8424,4.3986,2.7509,.295
11.165,2.8307,4.3866,2.7801,.3075
11.17,2.798,4.3723,2.8748,.3167
11.175,2.7736,4.3516,2.916,.3282
11.18,2.7363,4.3457,2.9459,.3479
11.185,2.7007,4.3314,2.9679,.3627
11.19,2.6818,4.3178,2.9157,.3622
11.195,2.651,4.3023,2.8194,.3457
11.2,2.6316,4.2877,2.7503,.336
11.205,2.6085,4.276,2.593,.3188
11.21,2.5755,4.2614,2.6267,.3021
11.215,2.5524,4.2455,2.7707,.3183
11.22,2.5275,4.2341,2.8622,.3309
11.225,2.5025,4.2218,2.8777,.322
11.23,2.4853,4.2092,2.7902,.3075
11.235,2.4551,4.1978,2.7545,.3076
11.24,2.4357,4.1861,2.7399,.2978
11.245,2.4104,4.1719,2.7762,.3127
11.25,2.3857,4.1595,2.795,.3188
11.255,2.3614,4.1443,2.8554,.3353
11.26,2.3393,4.132,2.8252,.339
11.265,2.3192,4.1174,2.8077,.3418
11.27,2.2946,4.1028,2.8826,.346
11.275,2.2732,4.0976,2.8327,.3361
11.28,2.2466,4.0778,2.7574,.3295
11.285,2.2193,4.0642,2.7201,.3321
11.29,2.1957,4.0519,2.747,.3352
11.295,2.1648,4.0392,2.8006,.3416
11.3,2.1389,4.0249,2.7571,.3356
11.305,2.1065,4.011,2.7376,.3167
11.31,2.0838,4.0019,2.6844,.2918
11.315,2.0549,3.9883,2.7607,.2991
11.32,2.0251,3.976,2.8557,.3118
11.325,2.0004,3.961,2.8988,.323
11.33,1.9725,3.9484,2.9066,.3455
11.335,1.9446,3.9341,2.8573,.3476
11.34,1.918,3.9166,2.8943,.3693
11.345,1.9002,3.9036,2.9089,.3826
11.35,1.8785,3.889,2.8703,.3756
11.355,1.846,3.8764,2.7088,.3457
11.36,1.8246,3.8637,2.5722,.3222
11.365,1.7993,3.8504,2.4555,.3023
11.37,1.7737,3.8401,2.5164,.3003
11.375,1.7523,3.8245,2.7201,.3238
11.38,1.7296,3.8141,2.891,.3334
11.385,1.7075,3.8018,2.963,.3308
11.39,1.6813,3.7891,2.8719,.324
11.395,1.6595,3.7768,2.7555,.2999
11.4,1.6427,3.7648,2.6488,.2808
11.405,1.6222,3.7512,2.6241,.2882
11.41,1.6093,3.7447,2.6066,.2859
11.415,1.5791,3.7272,2.7967,.3198
11.42,1.56,3.7136,2.9601,.3554
11.425,1.5308,3.6999,3.0743,.3641
11.43,1.4879,3.685,3.0234,.3692
11.435,1.4672,3.6724,2.8294,.3429
11.44,1.4312,3.6545,2.7217,.3316
11.445,1.3962,3.6435,2.5875,.3371
11.45,1.3822,3.6296,2.5622,.3452
11.455,1.3423,3.6159,2.6056,.3557
11.46,1.3157,3.602,2.6562,.3463
11.465,1.2956,3.5881,2.6961,.3305
11.47,1.2713,3.5783,2.7253,.3054
11.475,1.2411,3.5611,2.7516,.2994
11.48,1.2405,3.5537,2.737,.2978
11.485,1.2265,3.5426,2.7412,.3015
11.49,1.198,3.5329,2.7217,.3207
11.495,1.1714,3.5167,2.8087,.3399
11.5,1.137,3.5024,2.8301,.3462
11.505,1.1176,3.4878,2.8589,.3525
11.51,1.0932,3.4774,2.942,.3541
11.515,1.0725,3.4616,2.8398,.3483
11.52,1.053,3.4486,2.7289,.3444
11.525,1.0267,3.4346,2.6137,.3434
11.53,.9804,3.422,2.5972,.3488
11.535,.9661,3.409,2.4824,.3141
11.54,.9333,3.396,2.3899,.267
11.545,.9165,3.3892,2.3147,.2179
11.55,.9171,3.3808,2.3085,.1619
11.555,.9038,3.3753,2.3202,.1066
11.56,.9028,3.3782,2.3124,.0622
11.565,.9002,3.3711,2.3017,.0182
11.57,.9097,3.3724,2.352,-.0103
11.575,.9061,3.374,2.5745,.0047
11.58,.9165,3.3711,2.6841,.006
11.585,.9097,3.3704,2.786,
11.59,.9097,3.3707,2.8388,-.0094
11.595,.9084,3.3711,2.8388,-.0056
11.6,.9054,3.372,2.8041,.0088
11.605,.9012,3.3727,2.7367,.0102
11.61,.8938,3.3717,2.6912,.0164
11.615,.8925,3.3714,2.653,.0109
11.62,.884,3.3707,2.6241,.0031
11.625,.8801,3.3727,2.7075,-.0013
11.63,.8814,3.3707,2.7431,-.0045
11.635,.8847,3.3724,2.7684,-.0039
11.64,.885,3.3766,2.7782,-.0037
11.645,.8925,3.3717,2.7701,.0044
11.65,.8944,3.3717,2.7068,.0055
11.655,.8921,3.3717,2.6828,.0099
11.66,.8977,3.3717,2.6987,.0057
11.665,.8954,3.3711,2.7798,.0026
11.67,.898,3.3727,2.7924,.0034
11.675,.8918,3.3704,2.7967,.0015
11.68,.8957,3.3717,2.7581,.0028
11.685,.9022,3.372,2.7341,.0029
11.69,.8944,3.3711,2.7055,.0028
11.695,.9012,3.3717,2.6887,.0029
11.7,.9019,3.3717,2.7078,.0021
11.705,.9077,3.3733,2.7195,.0047
11.71,.909,3.3652,2.7551,.0033
11.715,.9145,3.3717,2.7837,.0025
11.72,.7582,3.3711,2.7289,.0012
11.725,.776,3.3704,2.7127,.0028
11.73,.7614,3.3717,2.6711,.0028
11.735,.7549,3.3711,2.6702,-.0009
11.74,.754,3.3727,2.7133,.0033
11.745,.7621,3.372,2.7266,.0029
11.75,.7468,3.372,2.7542,.0028
11.755,.7786,3.3714,2.7448,.0025
11.76,.7368,3.3701,2.7289,.0026
11.765,.7588,3.372,2.7392,.0021
11.77,.789,3.3756,2.7104,.0039
11.775,.7566,3.3746,2.711,.0034
11.78,.8584,3.3717,2.7136,.0037
11.785,.7815,3.3717,2.7402,.0039
11.79,.9126,3.3711,2.7276,.0003
11.795,.9009,3.3724,2.7412,-.0021
11.8,.9002,3.372,2.7513,-.0018
11.805,.8941,3.3691,2.7688,
11.81,.8886,3.3698,2.7487,.0029
11.815,.8857,3.372,2.7425,.0033
11.82,.8769,3.3727,2.725,.0018
11.825,.886,3.374,2.7383,.0021
11.83,.8808,3.3727,2.7415,.001
11.835,.8811,3.3733,2.7295,.0034
11.84,.8824,3.375,2.7522,.002
11.845,.887,3.3727,2.7308,.0033
11.85,.8915,3.3727,2.7182,.0034
11.855,.8899,3.372,2.7263,.0044
11.86,.8951,3.3766,2.7182,.0041
11.865,.8977,3.3724,2.7127,.0025
11.87,.9142,3.3727,2.7175,.0002
11.875,.8853,3.3675,2.7276,
11.88,.899,3.373,2.7441,.0007
11.885,.8941,3.3724,2.7308,.0042
11.89,.8834,3.3727,2.7036,.0044
11.895,.9148,3.3737,2.7036,.0044
11.9,.8934,3.3724,2.7007,.006
11.905,.8714,3.374,2.7208,.0028
11.91,.885,3.3733,2.7302,.0023
11.915,.9054,3.373,2.724,.0013
11.92,.8996,3.3733,2.7461,.002
11.925,.9032,3.3698,2.7305,.0023
11.93,.9064,3.373,2.7308,.0015
11.935,.9084,3.3753,2.7217,.0057
11.94,.9035,3.3707,2.6981,.001
11.945,.9035,3.3737,2.7574,.0016
11.95,.9074,3.373,2.7801,.006
11.955,.898,3.3733,2.7665,.0021
11.96,.8899,3.373,2.7422,.001
11.965,.8827,3.3743,2.7185,.0036
11.97,.8983,3.3759,2.6964,.0012
11.975,.8818,3.374,2.7217,.0018
11.98,.8879,3.3746,2.7247,.0021
11.985,.8889,3.3746,2.75,.002
11.99,.8847,3.3785,2.7535,.0028
11.995,.8951,3.374,2.7435,.0018
12,.8908,3.373,2.7308,.0039
12.005,.8892,3.3743,2.7032,.0041
12.01,.9048,3.3746,2.712,.0044
12.015,.8925,3.3746,2.6964,.0041
12.02,.8827,3.3743,2.7217,.0041
12.025,.8951,3.3746,2.6984,.0013
12.03,.8986,3.3743,2.7295,-.0024
12.035,.896,3.374,2.7182,.0002
12.04,.8957,3.3753,2.7104,.0007
12.045,.8873,3.3746,2.723,.0005
12.05,.9061,3.3743,2.7078,.0007
12.055,.8821,3.3753,2.7276,-.0006
12.06,.8782,3.375,2.7221,-.0026
12.065,.9019,3.3772,2.7227,-.0022
12.07,.884,3.375,2.7308,-.0024
12.075,.9204,3.3763,2.7227,-.0027
12.08,.8964,3.3769,2.7347,-.0013
12.085,.9132,3.3737,2.7438,
12.09,.9012,3.3769,2.7538,.0008
12.095,.9051,3.3766,2.7354,.0028
12.1,.9071,3.375,2.7519,.0029
12.105,.9035,3.3772,2.7483,.0033
12.11,.9015,3.3769,2.76,.0059
12.115,.91,3.3769,2.7363,-.0005
12.12,.8964,3.3772,2.7337,-.0018
12.125,.9093,3.3779,2.7065,-.0029
12.13,.9058,3.3759,2.6968,-.0024
12.135,.9106,3.3776,2.7062,-.0029
12.14,.8899,3.3779,2.7266,-.0029
12.145,.8944,3.3782,2.7516,.0002
12.15,.9129,3.3766,2.7655,.0008
12.155,.9139,3.3789,2.7334,.0062
12.16,.9142,3.3805,2.7221,.0037
12.165,.9178,3.3756,2.7143,.0041
12.17,.9158,3.3782,2.7373,.005
12.175,.8915,3.3785,2.7282,.0054
12.18,.8977,3.3782,2.7457,.0034
12.185,.8863,3.3792,2.7237,.0029
12.19,.9032,3.3792,2.7068,.0047
12.195,.8834,3.3837,2.7081,.0031
12.2,.9174,3.3785,2.7191,.0042
12.205,.9019,3.3789,2.726,.0047
12.21,.8899,3.3789,2.737,.0049
12.215,.9197,3.3782,2.7389,.0037
12.22,.8934,3.3792,2.7295,.0026
12.225,.8831,3.3776,2.7428,.0036
12.23,.9129,3.3779,2.7169,.0034
12.235,.8908,3.3789,2.7331,.0015
12.24,.8931,3.3795,2.7175,-.0001
12.245,.8977,3.3798,2.7302,-.0014
12.25,.884,3.3795,2.7266,.0008
12.255,.9058,3.3808,2.7165,-.0039
12.26,.9028,3.3824,2.7405,-.0011
12.265,.9165,3.3801,2.724,-.0019
12.27,.898,3.3805,2.7428,-.0039
12.275,.9178,3.3801,2.7461,-.0027
12.28,.8957,3.3814,2.7243,-.0032
12.285,.9476,3.3808,2.7389,-.0032
12.29,.9129,3.3805,2.7373,-.0005
12.295,.9233,3.3792,2.7412,.0036
12.3,.9161,3.3811,2.7334,.0036
12.305,.9064,3.3818,2.7214,.0033
