Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
8.415,50,-0.991929966,-1.192694
8.448,50,-0.975064518,-1.184585
8.481,50,-0.95819907,-1.162206
8.514,50,-1.00393,-1.244912
8.547,50,-0.974740183,-1.201451
8.58,50,-0.912143418,-1.1288
8.613,50,-0.988686611,-1.195613
8.646,50,-0.990632624,-1.258534
8.679,50,-0.966631794,-1.18718
8.712,50,-0.948144667,-1.205343
8.745,50,-1.005228,-1.222208
8.778,50,-0.94944201,-1.24556
8.811,50,-0.99452465,-1.172909
8.844,50,-0.964685781,-1.176477
8.877,50,-1.008147,-1.238425
8.91,50,-0.959820748,-1.217343
8.943,50,-0.967604801,-1.188477
8.976,50,-0.97636186,-1.198207
9.009,50,-0.997768006,-1.249452
9.042,50,-0.963712774,-1.181991
9.075,50,-0.951063687,-1.199829
9.108,50,-0.991605631,-1.23129
9.141,50,-0.988362275,-1.183612
9.174,50,-0.953334036,-1.209883
9.207,50,-0.983172907,-1.174855
9.24,50,-0.992578637,-1.24556
9.273,50,-0.970848156,-1.203397
9.306,50,-0.962739768,-1.201126
9.339,50,-0.990632624,-1.205667
9.372,50,-0.985443256,-1.202099
9.405,50,-0.979929551,-1.183288
9.438,50,-0.950090681,-1.195288
9.471,50,-1.014309,-1.231938
9.504,50,-0.990308289,-1.160909
9.537,50,-0.960793754,-1.193667
9.57,50,-0.973767176,-1.209559
9.603,50,-1.005876,-1.203397
9.636,50,-0.956901728,-1.205667
9.669,50,-0.97279417,-1.167071
9.702,50,-1.013012,-1.19464
9.735,50,-0.991281295,-1.205018
9.768,50,-0.970199485,-1.161233
9.801,50,-0.96987515,-1.165449
9.834,50,-0.98511892,-1.085987
9.867,50,-0.954307043,-1.201126
9.9,50,-1.045121,-1.105447
9.933,50,-0.97279417,-1.20664
9.966,50,-0.986740598,-1.098961
9.999,50,-0.967280465,-1.177126
10.032,50,-0.935819916,-1.066203
10.065,50,-0.994200315,-1.213451
10.098,50,-0.966307459,-1.117448
10.131,50,-0.989010946,-1.171287
10.164,50,-0.965334452,-1.178747
10.197,50,-0.974091512,-1.11615
10.23,50,-0.96111809,-1.208262
10.263,50,-0.943603969,-1.070095
10.296,50,-0.939387607,-1.229019
10.329,50,-1.017877,-1.195613
10.362,50,-0.943603969,-1.231938
10.395,50,-0.953982708,-1.206964
10.428,50,-0.98803794,-1.242317
10.461,50,-0.922522157,-1.27248
10.494,50,-0.989983953,-1.224154
10.527,50,-0.949117674,-1.241344
10.56,50,-0.977659203,-1.273777
10.593,50,-0.959820748,-1.244587
10.626,50,-0.933873902,-1.238101
10.659,50,-0.973118505,-1.226749
10.692,50,-0.935171245,-1.265345
10.725,50,-0.944252641,-1.217019
10.758,50,-0.939063272,-1.188802
10.791,50,-1.002633,-1.229668
10.824,50,-0.97636186,-1.192369
10.857,50,-0.953009701,-1.217019
10.89,50,-0.953982708,-1.206316
10.923,50,-1.004255,-1.252696
10.956,50,-0.958847741,-1.219938
10.989,50,-0.935819916,-1.224154
11.022,50,-0.989659618,-1.199505
11.055,50,-0.996146328,-1.204694
11.088,50,-0.951712359,-1.206316
11.121,50,-0.953658372,-1.18945
11.154,50,-0.987064933,-1.255939
11.187,50,-0.984145913,-1.188153
11.22,50,-0.96111809,-1.213127
11.253,50,-0.993551644,-1.191721
11.286,50,-0.999714019,-1.24102
11.319,50,-0.960793754,-1.210856
11.352,50,-0.956253056,-1.17745
11.385,50,-0.976037525,-1.23129
11.418,50,-1.000687,-1.179072
11.451,50,-0.939387607,-1.202424
11.484,50,-0.984145913,-1.161557
11.517,50,-0.990308289,-1.249452
11.55,50,-0.971172492,-1.216694
11.583,50,-0.970523821,-1.195937
11.616,50,-0.984470249,-1.2141
11.649,50,-0.968902143,-1.266642
11.682,50,-0.992902973,-1.197559
11.715,50,-0.937117258,-1.202424
11.748,50,-0.981875565,-1.238425
11.781,50,-0.984794585,-1.18491
11.814,50,-0.971496827,-1.192045
11.847,50,-0.977334867,-1.180693
11.88,50,-1.005552,-1.219938
11.913,50,-0.992254302,-1.182964
11.946,50,-0.964361445,-1.199505
11.979,50,-1.004255,-1.185558
12.012,50,-0.964685781,-1.231614
12.045,50,-0.964361445,-1.181018
12.078,50,-0.942306627,-1.186207
12.111,50,-0.977334867,-1.237128
12.144,50,-0.977010532,-1.196586
12.177,50,-0.974415847,-1.190099
12.21,50,-0.966307459,-1.185234
12.243,50,-0.989335282,-1.226424
12.276,50,-0.965334452,-1.182315
12.309,50,-0.95528005,-1.199829
12.342,50,-1.006525,-1.21864
12.375,50,-0.996470664,-1.20664
12.408,50,-0.945874318,-1.205343
12.441,50,-0.96987515,-1.192045
12.474,50,-0.998741012,-1.238101
12.507,50,-0.973442841,-1.203397
12.54,50,-0.94652299,-1.217667
12.573,50,-0.978956545,-1.204045
12.606,50,-0.995821993,-1.225127
12.639,50,-0.976037525,-1.203397
12.672,50,-0.970523821,-1.171287
12.705,50,-0.986416262,-1.236155
12.738,50,-0.992902973,-1.202424
12.771,50,-0.963388439,-1.199829
12.804,50,-0.96403711,-1.176477
12.837,50,-1.014633,-1.220262
12.87,50,-0.99095696,-1.181342
12.903,50,-0.952036694,-1.210532
12.936,50,-0.967929136,-1.200802
12.969,50,-0.981551229,-1.235182
13.002,50,-0.949766345,-1.214748
13.035,50,-0.971821163,-1.152152
13.068,50,-1.010093,-1.20437
13.101,50,-0.955928721,-1.234857
13.134,50,-0.99452465,-1.166747
13.167,50,-0.933225231,-1.214748
13.2,50,-1.011066,-1.227073
13.233,50,-0.978307874,-1.220262
13.266,50,-0.971172492,-1.187504
13.299,50,-0.985443256,-1.202099
13.332,50,-1.009768,-1.235506
13.365,50,-0.986091927,-1.182639
13.398,50,-0.979929551,-1.160909
13.431,50,-0.996470664,-1.235182
13.464,50,-0.967604801,-1.213775
13.497,50,-0.964685781,-1.190748
13.53,50,-0.967929136,-1.168693
13.563,50,-1.010741,-1.233236
13.596,50,-0.977983538,-1.190423
13.629,50,-0.974740183,-1.191721
13.662,50,-0.983497242,-1.215073
13.695,50,-0.990632624,-1.212154
13.728,50,-0.985443256,-1.197559
13.761,50,-0.965658787,-1.195937
13.794,50,-1.013012,-1.221884
13.827,50,-0.96987515,-1.204694
13.86,50,-0.95819907,-1.18945
13.893,50,-0.963712774,-1.200478
13.926,50,-0.97636186,-1.246209
13.959,50,-0.956901728,-1.183937
13.992,50,-0.967604801,-1.201451
14.025,50,-0.981226894,-1.217019
14.058,50,-1.007174,-1.177126
14.091,50,-0.953334036,-1.208262
14.124,50,-0.971172492,-1.18718
14.157,50,-1.001984,-1.236803
14.19,50,-0.980253887,-1.191721
14.223,50,-0.948793339,-1.194315
14.256,50,-0.978632209,-1.225127
14.289,50,-1.008795,-1.243614
14.322,50,-0.980578223,-1.194315
14.355,50,-0.93257656,-1.204045
14.388,50,-1.003606,-1.234857
14.421,50,-0.974740183,-1.232911
14.454,50,-0.965983123,-1.20891
14.487,50,-0.968253472,-1.205991
14.52,50,-1.018201,-1.21637
14.553,50,-0.986416262,-1.217019
14.586,50,-0.962739768,-1.194315
14.619,50,-0.987064933,-1.205343
14.652,50,-0.990308289,-1.241344
14.685,50,-0.945874318,-1.186531
14.718,50,-0.961766761,-1.169666
14.751,50,-0.987389269,-1.235506
14.784,50,-0.96111809,-1.196586
14.817,50,-0.983172907,-1.165449
14.85,50,-0.962091096,-1.182315
14.883,50,-0.987713604,-1.24329
14.916,50,-0.98511892,-1.187504
14.949,50,-0.964685781,-1.199829
14.982,50,-0.977659203,-1.2141
15.015,50,-0.998416677,-1.209883
15.048,50,-0.981875565,-1.171612
15.081,50,-0.953982708,-1.168044
15.114,50,-0.978956545,-1.239074
15.147,50,-0.992254302,-1.165774
15.18,50,-0.954631379,-1.193018
15.213,50,-0.980578223,-1.221559
15.246,50,-1.033121,-1.213451
15.279,50,-0.982848571,-1.210856
15.312,50,-0.986740598,-1.203397
15.345,50,-0.996794999,-1.20891
15.378,50,-0.998416677,-1.225776
15.411,50,-0.955604385,-1.210532
15.444,50,-0.962739768,-1.164476
15.477,50,-1.004255,-1.224803
15.51,50,-0.989983953,-1.196261
15.543,50,-0.954307043,-1.175828
15.576,50,-0.952685365,-1.225127
15.609,50,-0.996470664,-1.225451
15.642,50,-0.970199485,-1.195288
15.675,50,-0.964361445,-1.1528
15.708,50,-0.990632624,-1.227722
15.741,50,-0.993551644,-1.20664
15.774,50,-0.948469003,-1.207937
15.807,50,-0.963064103,-1.171287
15.84,50,-0.988362275,-1.239722
15.873,50,-0.97928088,-1.188153
15.906,50,-0.981875565,-1.176801
15.939,50,-0.971821163,-1.222208
15.972,50,-1.015606,-1.213775
16.005,50,-0.96403711,-1.201775
16.038,50,-0.913440761,-1.115826
16.071,50,-0.998092341,-1.21864
16.104,50,-0.951712359,-1.212478
16.137,50,-0.97636186,-1.178099
16.17,50,-0.956253056,-1.182964
16.203,50,-0.993875979,-1.246209
16.236,50,-1.011066,-1.18491
16.269,50,-0.959496412,-1.208262
16.302,50,-0.996794999,-1.204694
16.335,50,-1.001011,-1.212802
16.368,50,-0.943603969,-1.138205
16.401,50,-0.949766345,-1.200802
16.434,50,-1.008795,-1.229668
16.467,50,-0.96695613,-1.209883
16.5,50,-0.973118505,-1.199829
16.533,50,-0.963064103,-1.187829
16.566,50,-0.989335282,-1.23129
16.599,50,-0.974091512,-1.211829
16.632,50,-0.949766345,-1.220586
16.665,50,-0.992254302,-1.215397
16.698,50,-0.977983538,-1.238101
16.731,50,-0.953982708,-1.200153
16.764,50,-0.911819083,-1.141124
16.797,50,-1.013985,-1.23129
16.83,50,-0.962739768,-1.193342
16.863,50,-0.948469003,-1.212154
16.896,50,-0.960145083,-1.211829
16.929,50,-0.996146328,-1.227722
16.962,50,-0.950090681,-1.181342
16.995,50,-0.962091096,-1.204694
17.028,50,-0.989983953,-1.227397
17.061,50,-0.994848986,-1.195937
17.094,50,-0.959496412,-1.201451
17.127,50,-0.976037525,-1.191396
17.16,50,-0.997768006,-1.239722
17.193,50,-0.974415847,-1.19691
17.226,50,-0.950739352,-1.207937
17.259,50,-0.996146328,-1.21637
17.292,50,-0.981875565,-1.247831
17.325,50,-0.966631794,-1.207289
17.358,50,-0.954631379,-1.196261
17.391,50,-1.022093,-1.191072
17.424,50,-0.992902973,-1.203721
17.457,50,-0.990308289,-1.169341
17.49,50,-0.981875565,-1.164801
17.523,50,-1.03085,-1.196261
17.556,50,-1.001984,-1.180693
17.589,50,-0.970523821,-1.181342
17.622,50,-0.962091096,-1.105772
17.655,50,-1.015282,-1.215397
17.688,50,-0.933873902,-1.071068
17.721,50,-0.972469834,-1.157665
17.754,50,-0.962091096,-1.104474
17.787,50,-0.989010946,-1.167071
17.82,50,-1.004579,-1.150206
17.853,50,-0.97636186,-1.135611
17.886,50,-1.000038,-1.210532
17.919,50,-0.965334452,-1.155071
17.952,50,-0.982848571,-1.181991
17.985,50,-1.010093,-1.164476
18.018,50,-1.007498,-1.18945
18.051,50,-0.95528005,-1.201451
18.084,50,-0.947495996,-1.194315
18.117,50,-1.001336,-1.23356
18.15,50,-0.961766761,-1.222208
18.183,50,-0.951063687,-1.218316
18.216,50,-0.962739768,-1.197883
18.249,50,-0.991605631,-1.245885
18.282,50,-0.965334452,-1.221884
18.315,50,-0.953009701,-1.214748
18.348,50,-0.966307459,-1.23583
18.381,50,-0.968577807,-1.236479
18.414,50,-0.929981875,-1.231938
18.447,50,-0.913765096,-1.231938
18.48,50,-0.999065348,-1.238425
18.513,50,-0.950090681,-1.215721
18.546,50,-0.94944201,-1.216046
18.579,50,-0.973442841,-1.217343
18.612,50,-0.989335282,-1.258534
18.645,50,-0.972469834,-1.178423
18.678,50,-0.930954882,-1.219289
18.711,50,-1.002633,-1.219938
18.744,50,-0.941333621,-1.240047
18.777,50,-0.955604385,-1.20664
18.81,50,-0.979605216,-1.145665
18.843,50,-0.966307459,-1.26048
18.876,50,-0.98803794,-1.191721
18.909,50,-0.944901312,-1.213775
18.942,50,-1.018201,-1.180045
18.975,50,-0.992578637,-1.265345
19.008,50,-0.969550814,-1.197883
19.041,50,-0.972145498,-1.158314
19.074,50,-0.953982708,-1.254642
19.107,50,-0.989659618,-1.189126
19.14,50,-0.962415432,-1.186531
19.173,50,-0.955928721,-1.194315
19.206,50,-0.999714019,-1.240695
19.239,50,-0.989983953,-1.208586
19.272,50,-0.973118505,-1.197559
19.305,50,-0.983821578,-1.217343
19.338,50,-1.004255,-1.222532
19.371,50,-0.965334452,-1.20891
19.404,50,-0.968253472,-1.168693
19.437,50,-0.984470249,-1.248479
19.47,50,-0.983821578,-1.206316
19.503,50,-0.967280465,-1.190423
19.536,50,-0.967604801,-1.170963
19.569,50,-0.996470664,-1.235182
19.602,50,-0.995173322,-1.167395
19.635,50,-0.978632209,-1.201126
19.668,50,-1.006201,-1.203072
19.701,50,-0.998092341,-1.207613
19.734,50,-0.955604385,-1.203397
19.767,50,-0.948469003,-1.174855
19.8,50,-0.995173322,-1.234209
19.833,50,-0.999389683,-1.165449
19.866,50,-0.941982292,-1.22383
19.899,50,-0.995173322,-1.204045
19.932,50,-0.988362275,-1.258858
19.965,50,-0.978307874,-1.188477
19.998,50,-0.955604385,-1.17972
20.031,50,-1.000687,-1.219289
20.064,50,-0.975064518,-1.22383
20.097,50,-0.970199485,-1.197234
20.13,50,-0.979929551,-1.174531
20.163,50,-0.994200315,-1.243939
20.196,50,-0.984794585,-1.198207
20.229,50,-0.982848571,-1.186531
20.262,50,-0.973442841,-1.213451
20.295,50,-1.015282,-1.234209
20.328,50,-0.973442841,-1.201451
20.361,50,-0.960145083,-1.20891
20.394,50,-0.996146328,-1.241344
20.427,50,-0.972469834,-1.236803
20.46,50,-0.958523405,-1.199829
20.493,50,-0.970523821,-1.173233
20.526,50,-1.020471,-1.216046
20.559,50,-0.979929551,-1.185558
20.592,50,-0.970199485,-1.196261
20.625,50,-0.96987515,-1.207937
20.658,50,-1.010741,-1.223505
20.691,50,-0.97279417,-1.176153
20.724,50,-0.945225647,-1.177774
20.757,50,-1.010417,-1.230641
20.79,50,-0.95528005,-1.2261
20.823,50,-0.998092341,-1.161233
20.856,50,-0.977659203,-1.173233
20.889,50,-0.980902558,-1.248479
20.922,50,-0.983821578,-1.186856
20.955,50,-0.971496827,-1.188802
20.988,50,-0.993551644,-1.201775
21.021,50,-0.963712774,-1.236155
21.054,50,-0.967929136,-1.181991
21.087,50,-0.951712359,-1.193991
21.12,50,-0.990308289,-1.231938
21.153,50,-0.986091927,-1.198532
21.186,50,-0.965658787,-1.208586
21.219,50,-0.980578223,-1.228695
21.252,50,-1.025337,-1.204045
21.285,50,-0.954955714,-1.226749
21.318,50,-0.977983538,-1.155071
21.351,50,-0.978307874,-1.242966
21.384,50,-0.978956545,-1.231938
21.417,50,-0.954631379,-1.199829
21.45,50,-0.948793339,-1.200153
21.483,50,-1.044472,-1.180693
21.516,50,-0.959820748,-1.18945
21.549,50,-0.977983538,-1.17972
21.582,50,-0.97636186,-1.205667
21.615,50,-1.005228,-1.222532
21.648,50,-0.950739352,-1.190423
21.681,50,-0.959496412,-1.17226
21.714,50,-0.977659203,-1.246858
21.747,50,-0.97928088,-1.207937
21.78,50,-0.967604801,-1.19464
21.813,50,-0.968577807,-1.168044
21.846,50,-0.967604801,-1.248155
21.879,50,-0.983172907,-1.200802
21.912,50,-0.979605216,-1.17972
21.945,50,-0.97636186,-1.213127
21.978,50,-1.007498,-1.224478
22.011,50,-0.978632209,-1.166747
22.044,50,-0.955928721,-1.181991
22.077,50,-0.988362275,-1.24556
22.11,50,-0.981551229,-1.211829
22.143,50,-0.967929136,-1.194964
22.176,50,-0.949766345,-1.197234
22.209,50,-1.012687,-1.238101
22.242,50,-0.977659203,-1.219289
22.275,50,-0.944252641,-1.225127
22.308,50,-1.013012,-1.191072
22.341,50,-0.977010532,-1.2141
22.374,50,-0.966307459,-1.209883
22.407,50,-0.936792923,-1.209235
22.44,50,-0.994200315,-1.237776
22.473,50,-0.964361445,-1.214748
22.506,50,-0.945549983,-1.199505
22.539,50,-0.96695613,-1.185234
22.572,50,-1.021769,-1.213127
22.605,50,-0.956577392,-1.213451
22.638,50,-0.964361445,-1.209883
22.671,50,-1.007822,-1.199829
22.704,50,-0.965983123,-1.228371
22.737,50,-0.942630963,-1.207613
22.77,50,-0.965010116,-1.183612
22.803,50,-1.007822,-1.222208
22.836,50,-0.95819907,-1.193667
22.869,50,-0.972469834,-1.188802
22.902,50,-0.976037525,-1.202424
22.935,50,-1.018525,-1.231938
22.968,50,-0.963064103,-1.20437
23.001,50,-0.957874734,-1.196586
23.034,50,-1.018525,-1.190423
23.067,50,-0.957874734,-1.227722
23.1,50,-0.956577392,-1.206316
23.133,50,-0.953658372,-1.185883
23.166,50,-0.977659203,-1.239722
23.199,50,-0.991929966,-1.198856
23.232,50,-0.96111809,-1.191396
23.265,50,-0.992254302,-1.217019
23.298,50,-0.986416262,-1.256588
23.331,50,-1.001336,-1.177126
23.364,50,-0.947171661,-1.185883
23.397,50,-1.007174,-1.223181
23.43,50,-0.999714019,-1.176477
23.463,50,-0.964361445,-1.195613
23.496,50,-0.955604385,-1.197883
23.529,50,-1.005228,-1.258858
23.562,50,-0.994848986,-1.187829
23.595,50,-0.94652299,-1.229992
23.628,50,-0.990632624,-1.213775
23.661,50,-0.978632209,-1.232911
23.694,50,-0.96111809,-1.183937
23.727,50,-0.949766345,-1.200478
23.76,50,-0.985443256,-1.246533
23.793,50,-0.983172907,-1.190748
23.826,50,-0.980902558,-1.178099
23.859,50,-0.96987515,-1.204045
23.892,50,-0.993227308,-1.242641
23.925,50,-0.978307874,-1.18945
23.958,50,-0.978632209,-1.19691
